"","sample","phase","tab","rep","nominal_time","dw_g","time_h","Cd111_ppb","Cd114_ppb","Cu63_ppb","Cu65_ppb","Ni60_ppb","Ni62_ppb","clear"
"55","Bioa_labeling_1d_2_1","Bioa","1",2,"24h",0.0726,24.3333333333333,0.715709029704044,7.29670909888802,5.57852166928167,19.09056946332,3.54165549182628,11.7033638787036,0
"56","Bioa_labeling_1d_2_2","Bioa","1",2,"24h",0.1143,24.3333333333333,0.553689264336358,6.2773389944813,5.79427853792994,28.8295233878943,3.48586512024816,13.4965961591887,0
"57","Bioa_labeling_1d_2_3","Bioa","1",2,"24h",0.083,24.3333333333333,0.773552249510415,6.4449954450523,5.55093152931023,21.3193652107054,2.38101435933661,10.1919931711229,0
"58","Bioa_labeling_1d_2_4","Bioa","1",2,"24h",0.0973,24.3333333333333,0.528258818365287,4.89531324443327,4.68868614024452,12.8656988004191,3.22711706370715,7.75008933249628,0
"59","Bioa_labeling_1d_3_1","Bioa","1",3,"24h",0.0832,24.7,0.569180309312489,5.59315791051539,6.5630058904795,31.5149800261681,3.19112961062969,10.674913860075,0
"60","Bioa_labeling_1d_3_2","Bioa","1",3,"24h",0.0461,24.7,0.56712418373121,5.9481997925062,6.60530995787008,30.4946840744553,1.92125575679425,8.33292582528868,0
"61","Bioa_labeling_1d_3_3","Bioa","1",3,"24h",0.0867,24.7,0.63663882662242,8.07458582328179,11.8601308911432,76.3255331693446,4.04058719956927,19.4831249024114,0
"62","Bioa_labeling_1d_3_4","Bioa","1",3,"24h",0.1206,24.7,0.65235887053658,5.63184628526352,6.19644496007572,32.7133819637129,3.15851211366836,11.6064178626754,0
"63","Bioa_labeling_1d_4_1","Bioa","1",4,"24h",0.0849,24.75,0.606607104402024,5.68524244318636,7.34563548369723,37.519933355424,2.48942729188949,10.3693626799336,0
"64","Bioa_labeling_1d_4_2","Bioa","1",4,"24h",0.0683,24.75,0.655587727664239,7.23730702518452,7.14475160502334,36.0470041110596,3.42442699081423,18.2424625826471,0
